    - Ended scoring round 253/3000 with score 0.83, trading score: -1.72
    - Ended scoring round 254/3000 with score 0.80, trading score: -1.51
    - Ended scoring round 255/3000 with score 0.51, trading score: -1.22
    - Ended scoring round 256/3000 with score 0.58, trading score: -1.70
    - Ended scoring round 257/3000 with score 0.41, trading score: -1.32
    - Ended scoring round 258/3000 with score 0.43, trading score: -1.48
    - Ended scoring round 259/3000 with score 0.44, trading score: -1.42
    - Ended scoring round 260/3000 with score 0.84, trading score: -1.26
    - Ended scoring round 261/3000 with score 1.19, trading score: -0.95
    - Ended scoring round 262/3000 with score 2.56, trading score: -0.52
    - Ended scoring round 263/3000 with score 2.74, trading score: 3.05
    - Ended scoring round 264/3000 with score 1.69, trading score: 2.14
    - Ended scoring round 265/3000 with score 1.43, trading score: 2.06
    - Ended scoring round 266/3000 with score 1.42, trading score: 1.90
    - Ended scoring round 267/3000 with score 2.50, trading score: 1.92
    - Ended scoring round 268/3000 with score 1.37, trading score: 1.92
    - Ended scoring round 269/3000 with score 0.91, trading score: 1.92
    - Ended scoring round 270/3000 with score 1.33, trading score: 1.92
    - Ended scoring round 271/3000 with score 1.41, trading score: 2.33
    - Ended scoring round 272/3000 with score 1.62, trading score: 3.73
    - Ended scoring round 273/3000 with score 3.82, trading score: 1.70
    - Ended scoring round 274/3000 with score 3.76, trading score: 2.40
    - Ended scoring round 275/3000 with score 3.90, trading score: 1.92
    - Ended scoring round 276/3000 with score 4.03, trading score: 1.92
    - Ended scoring round 277/3000 with score 2.63, trading score: 3.21
    - Ended scoring round 278/3000 with score 0.60, trading score: 1.73
    - Ended scoring round 279/3000 with score 1.07, trading score: 2.75
    - Ended scoring round 280/3000 with score 0.77, trading score: 0.83
    - Ended scoring round 281/3000 with score 2.65, trading score: 3.28
    - Ended scoring round 282/3000 with score 3.02, trading score: 3.16
    - Ended scoring round 283/3000 with score 1.23, trading score: -1.23
    - Ended scoring round 284/3000 with score 0.83, trading score: -1.20
    - Ended scoring round 285/3000 with score 0.44, trading score: -1.32
    - Ended scoring round 286/3000 with score 0.28, trading score: -1.66
    - Ended scoring round 287/3000 with score 0.53, trading score: -1.35
    - Ended scoring round 288/3000 with score 0.70, trading score: -1.21
    - Ended scoring round 289/3000 with score 0.44, trading score: -1.23
    - Ended scoring round 290/3000 with score 0.31, trading score: -1.20
    - Ended scoring round 291/3000 with score 0.26, trading score: -1.23
    - Ended scoring round 292/3000 with score 0.71, trading score: -1.41
    - Ended scoring round 293/3000 with score 0.30, trading score: -1.49
    - Ended scoring round 294/3000 with score 0.36, trading score: -1.03
    - Ended scoring round 295/3000 with score 0.68, trading score: -1.32
    - Ended scoring round 296/3000 with score 0.80, trading score: -0.82
    - Ended scoring round 297/3000 with score 1.97, trading score: 3.48
    - Ended scoring round 298/3000 with score 2.17, trading score: 1.28
    - Ended scoring round 299/3000 with score 1.28, trading score: 1.96
    - Ended scoring round 300/3000 with score 1.56, trading score: 1.93
    - Ended scoring round 301/3000 with score 1.80, trading score: 1.97
    - Ended scoring round 302/3000 with score 0.20, trading score: 1.92
    - Ended scoring round 303/3000 with score 2.79, trading score: 4.30
    - Ended scoring round 304/3000 with score 0.12, trading score: -0.32
    - Ended scoring round 305/3000 with score -0.21, trading score: -0.73
    - Ended scoring round 306/3000 with score 0.49, trading score: -1.34
    - Ended scoring round 307/3000 with score 0.25, trading score: -1.26
    - Ended scoring round 308/3000 with score 0.12, trading score: -1.41
    - Ended scoring round 309/3000 with score 0.33, trading score: -1.40
    - Ended scoring round 310/3000 with score 0.27, trading score: -1.27
    - Ended scoring round 311/3000 with score 0.58, trading score: -1.19
    - Ended scoring round 312/3000 with score 0.05, trading score: -0.81
    - Ended scoring round 313/3000 with score 0.27, trading score: -1.05
    - Ended scoring round 314/3000 with score 0.54, trading score: -1.01
    - Ended scoring round 315/3000 with score 0.70, trading score: -1.07
    - Ended scoring round 316/3000 with score 0.60, trading score: -1.05
    - Ended scoring round 317/3000 with score 0.50, trading score: -1.13
    - Ended scoring round 318/3000 with score 0.47, trading score: -1.06
    - Ended scoring round 319/3000 with score 0.68, trading score: -1.29
    - Ended scoring round 320/3000 with score 0.50, trading score: -1.42
    - Ended scoring round 321/3000 with score 0.40, trading score: -1.32
    - Ended scoring round 322/3000 with score 0.80, trading score: -1.29
    - Ended scoring round 323/3000 with score 1.00, trading score: -1.32
    - Ended scoring round 324/3000 with score 0.71, trading score: -1.40
    - Ended scoring round 325/3000 with score 0.62, trading score: -1.40
    - Ended scoring round 326/3000 with score 0.44, trading score: -1.40
    - Ended scoring round 327/3000 with score 0.60, trading score: -1.13
    - Ended scoring round 328/3000 with score 0.28, trading score: -1.00
    - Ended scoring round 329/3000 with score 0.59, trading score: -1.41
    - Ended scoring round 330/3000 with score 0.85, trading score: -1.07
    - Ended scoring round 331/3000 with score 0.41, trading score: -1.32
    - Ended scoring round 332/3000 with score 0.62, trading score: -1.04
    - Ended scoring round 333/3000 with score 0.91, trading score: -0.99
