,datadate,turbulence
564,2017-09-26,66.84406208583864
565,2017-09-27,67.68799212994749
566,2017-09-28,56.567703753776414
567,2017-09-29,57.14658833211766
568,2017-10-02,58.723188756753366
569,2017-10-03,58.72555143509275
570,2017-10-04,54.38796786169159
571,2017-10-05,48.64964947541066
572,2017-10-06,59.36644438816786
573,2017-10-09,66.64540767971937
574,2017-10-10,83.05714227643723
575,2017-10-11,96.009433243588
576,2017-10-12,85.5009347734703
577,2017-10-13,94.68420731364908
578,2017-10-16,84.99668648394115
579,2017-10-17,76.70153578594403
580,2017-10-18,88.89323952513595
581,2017-10-19,96.39109743227046
582,2017-10-20,115.55672616265664
583,2017-10-23,105.2248494975256
584,2017-10-24,107.32322415172823
585,2017-10-25,115.48216632723981
586,2017-10-26,82.88281648137311
587,2017-10-27,154.75577364454003
588,2017-10-30,156.87268516369303
589,2017-10-31,113.39169981096776
590,2017-11-01,106.34608848197568
591,2017-11-02,106.78794359630913
592,2017-11-03,77.59529074668448
593,2017-11-06,83.06827588494065
594,2017-11-07,82.593343885121
595,2017-11-08,73.42449776781578
596,2017-11-09,75.42060686355748
597,2017-11-10,81.99146126838042
598,2017-11-13,68.71346836881598
599,2017-11-14,72.71308918954882
600,2017-11-15,58.936603062314
601,2017-11-16,97.58460697092947
602,2017-11-17,89.3380652379207
603,2017-11-20,87.51069920849281
604,2017-11-21,74.11836808162154
605,2017-11-22,64.81272619503781
606,2017-11-24,60.239933130654165
607,2017-11-27,59.322595012334965
608,2017-11-28,61.82794404289495
609,2017-11-29,74.88299564329341
610,2017-11-30,70.52115096652459
611,2017-12-01,57.908514286642415
612,2017-12-04,90.4744922328946
613,2017-12-05,63.75451311368627
614,2017-12-06,48.71762854975205
615,2017-12-07,49.64181347305613
616,2017-12-08,60.308201140464305
617,2017-12-11,54.58000590247348
618,2017-12-12,65.17620136943178
619,2017-12-13,65.49419362978014
620,2017-12-14,62.15151710609032
621,2017-12-15,52.13627982223776
622,2017-12-18,52.85908434593658
623,2017-12-19,55.79012520092962
624,2017-12-20,61.43128445253876
625,2017-12-21,69.99283058549456
626,2017-12-22,61.830432931790604
627,2017-12-26,67.82787485067111
628,2017-12-27,58.972589944086145
629,2017-12-28,56.217687184160475
630,2017-12-29,52.43057432879588
631,2018-01-02,50.92323572125868
632,2018-01-03,64.53710026291347
633,2018-01-04,58.47359420411873
634,2018-01-05,76.77040934955714
635,2018-01-08,91.00414187922009
636,2018-01-09,103.03585683418427
637,2018-01-10,102.65060389862673
638,2018-01-11,114.44761415868766
639,2018-01-12,130.9787690401727
640,2018-01-16,105.88482388594058
641,2018-01-17,168.39495947786367
642,2018-01-18,115.89050877201934
643,2018-01-19,100.54318860868916
644,2018-01-22,87.35055522437234
645,2018-01-23,148.65473693914603
646,2018-01-24,120.97502432480265
647,2018-01-25,122.64735277823715
648,2018-01-26,150.7811141423154
649,2018-01-29,155.9213594668744
650,2018-01-30,100.5773165839317
651,2018-01-31,161.9727435432293
652,2018-02-01,145.45659479483152
653,2018-02-02,124.1811256065449
654,2018-02-05,102.28028457918046
655,2018-02-06,94.89789106931546
656,2018-02-07,118.00974447613781
657,2018-02-08,122.54827292805187
658,2018-02-09,78.33730719767665
659,2018-02-12,77.46495591334829
660,2018-02-13,74.44900806768447
661,2018-02-14,73.75223796345286
662,2018-02-15,95.75041985103694
663,2018-02-16,88.82236585432015
664,2018-02-20,90.16544903069392
665,2018-02-21,95.80122314212139
666,2018-02-22,93.06885680996909
667,2018-02-23,78.30339424571619
668,2018-02-26,80.17297481894418
669,2018-02-27,90.22421359209098
670,2018-02-28,112.27683839092494
671,2018-03-01,87.09788038526493
672,2018-03-02,99.52520598090646
673,2018-03-05,77.29843947144316
674,2018-03-06,67.1061967098534
675,2018-03-07,81.67533492043995
676,2018-03-08,72.68404847154311
677,2018-03-09,83.32693736963931
678,2018-03-12,74.35144381675184
679,2018-03-13,81.71816015861073
680,2018-03-14,85.8682434583916
681,2018-03-15,88.41629192038019
682,2018-03-16,64.68622557554198
683,2018-03-19,50.73699135482741
684,2018-03-20,54.9662533927415
685,2018-03-21,54.716902115471086
686,2018-03-22,54.55219173741879
687,2018-03-23,64.45768684251351
688,2018-03-26,59.882703182270895
689,2018-03-27,62.754906106158394
690,2018-03-28,48.172314219476426
691,2018-03-29,41.9890690053297
692,2018-04-02,49.85776147374423
693,2018-04-03,57.70280333421125
694,2018-04-04,63.951392281511765
695,2018-04-05,55.774333089895094
696,2018-04-06,53.62023307400387
697,2018-04-09,65.11979790111991
698,2018-04-10,64.94466084510276
699,2018-04-11,62.756496696213006
700,2018-04-12,70.65093691042034
701,2018-04-13,68.73468720458364
702,2018-04-16,69.55330692073626
703,2018-04-17,98.31841136167247
704,2018-04-18,91.33572017111648
705,2018-04-19,109.17006503098709
706,2018-04-20,93.85034048617874
707,2018-04-23,103.74804486318895
708,2018-04-24,141.39399246956924
709,2018-04-25,126.37788959655006
710,2018-04-26,142.39362087117982
711,2018-04-27,129.99997837540906
712,2018-04-30,110.00823863049008
713,2018-05-01,102.09867835197623
714,2018-05-02,106.27944403460438
715,2018-05-03,95.95421728130074
716,2018-05-04,85.25149320976186
717,2018-05-07,76.55400333045002
718,2018-05-08,79.47693031145641
719,2018-05-09,83.79104909467937
720,2018-05-10,80.42231524648683
721,2018-05-11,71.79070796382061
722,2018-05-14,68.48516630601641
723,2018-05-15,62.77560237493175
