timestamp,close,open,high,low,volume
2019-07-17,297.7400,299.7500,299.9300,297.7400,44102443
2019-07-18,298.8300,297.1900,299.2500,296.7000,51701687
2019-07-19,297.1700,300.0400,300.0700,296.9800,71081238
2019-07-22,297.9000,297.6100,298.5000,297.0400,43687404
2019-07-23,300.0300,299.1400,300.0300,298.2200,44657973
2019-07-24,301.4400,299.1900,301.4400,299.0900,47213232
2019-07-25,300.0000,300.9400,301.0000,299.1100,55394074
2019-07-26,302.0100,300.7600,302.2300,300.6200,45084077
2019-07-29,301.4600,301.8800,302.0100,300.8500,38126462
2019-07-30,300.7200,299.9100,301.1700,299.4900,45849045
2019-07-31,297.4300,300.9900,301.2000,295.2000,104245162
2019-08-01,294.8400,297.6000,300.8700,293.9600,142646576
2019-08-02,292.6200,293.8500,294.1200,290.9000,116749695
2019-08-05,283.8200,288.0900,288.2100,281.7200,178745449
2019-08-06,287.8000,285.9100,288.0400,284.2800,120711682
2019-08-07,287.9700,284.4000,288.8200,282.0400,140572265
2019-08-08,293.6200,289.6200,293.6200,289.0100,87713904
2019-08-09,291.6200,292.5800,293.2400,289.6500,93729958
2019-08-12,288.0700,289.9600,291.6100,287.0200,62629500
2019-08-13,292.5500,287.7400,294.1500,287.3600,94792972
2019-08-14,283.9000,288.0700,288.7400,283.7600,135622053
2019-08-15,284.6500,284.8800,285.6400,282.3900,101929845
2019-08-16,288.8500,286.4800,289.3300,284.7138,85825286
2019-08-19,292.3300,292.1900,293.0800,291.4400,53640153
2019-08-20,290.0900,291.7700,292.3600,289.9500,51652752
2019-08-21,292.4500,292.4800,292.8600,291.7200,49723430
2019-08-22,292.3600,293.2300,293.9300,290.4000,51739292
2019-08-23,284.8500,290.9200,292.7600,283.4700,149318151
2019-08-26,288.0000,287.2700,288.0000,285.5800,72620598
2019-08-27,286.8700,289.5400,289.9500,286.0300,68262998
2019-08-28,288.8900,286.1400,289.0700,285.2500,58891544
2019-08-29,292.5800,291.7200,293.1600,290.6100,57998913
2019-08-30,292.4500,294.2200,294.2400,291.4200,62831109
2019-09-03,290.7400,290.5700,291.5800,289.2700,69078772
2019-09-04,294.0400,293.1400,294.0600,292.3100,46813644
2019-09-05,297.8200,296.7900,298.8300,294.0000,83197295
2019-09-06,298.0500,298.1700,298.7600,297.4200,49510922
2019-09-09,298.2000,299.1400,299.2400,297.1600,51086154
2019-09-10,298.1300,297.3600,298.2000,295.9700,57698673
2019-09-11,300.2500,298.4700,300.3400,297.7500,68008165
2019-09-12,301.2900,301.2500,302.4600,300.4100,72546530
2019-09-13,301.0900,301.7800,302.1700,300.6800,62053458
2019-09-16,300.1600,299.8400,301.1400,299.4500,57934320
2019-09-17,300.9200,299.9400,301.0200,299.7500,42770135
2019-09-18,301.1000,300.4900,301.2200,298.2400,73875018
2019-09-19,301.0800,301.5300,302.6300,300.7100,77933334
2019-09-20,298.2800,300.3600,300.6700,297.4100,96939851
2019-09-23,298.2100,297.5500,299.0000,297.2700,47134009
2019-09-24,295.8700,299.4100,299.8400,294.8100,97160127
2019-09-25,297.6200,295.9600,298.1100,294.3300,73267803
2019-09-26,297.0000,297.6300,297.8600,295.4500,58594707
2019-09-27,295.4000,297.8300,297.9500,293.6900,84755721
2019-09-30,296.7700,295.9700,297.5500,295.9200,52438861
2019-10-01,293.2400,297.7400,298.4600,293.0000,89425082
2019-10-02,288.0600,291.5000,291.5100,286.6400,124208927
2019-10-03,290.4200,287.8100,290.4500,284.8200,85718095
2019-10-04,294.3500,291.1400,294.6300,291.0800,66737063
2019-10-07,293.0800,293.4700,295.2600,292.7700,60549809
2019-10-08,288.5300,291.0400,291.8500,288.4900,101367099
2019-10-09,291.2700,290.7500,292.3000,290.0600,64341784
2019-10-10,293.2400,291.1800,294.2100,291.0000,54459839
2019-10-11,296.2800,296.2700,298.7400,296.1400,101099695
2019-10-14,295.9500,295.9300,296.6700,295.5700,40467320
2019-10-15,298.8800,297.1000,299.7000,296.9700,48123837
2019-10-16,298.4000,298.3700,299.1600,297.9200,50293197
2019-10-17,299.2800,299.6800,300.2400,298.5200,46676445
2019-10-18,297.9700,298.6900,299.4000,297.0300,64293228
2019-10-21,299.9900,299.4200,300.2100,298.9400,39388285
2019-10-22,299.0100,300.5800,300.9000,298.9100,49028214
2019-10-23,299.8800,298.7300,299.9400,298.5000,34857719
2019-10-24,300.3700,300.9100,301.0700,299.4600,35688865
2019-10-25,301.6000,299.7400,302.2000,299.6800,45145150
2019-10-28,303.3000,302.9400,303.8500,302.9100,40174540
2019-10-29,303.2100,303.0000,304.2300,302.8600,44201626
2019-10-30,304.1400,303.4300,304.5500,301.9900,49542312
2019-10-31,303.3300,304.1300,304.1300,301.7300,68955393
2019-11-01,306.1400,304.9200,306.1900,304.7400,71071915
2019-11-04,307.3700,307.8500,308.0000,306.9600,60270655
2019-11-05,307.0300,307.5900,307.9200,306.7100,42809998
2019-11-06,307.1000,307.0300,307.4000,306.0600,46402927
2019-11-07,308.1800,308.5700,309.6500,307.6600,53823043
2019-11-08,308.9400,307.8000,309.0000,307.0300,49019213
2019-11-11,308.3500,307.4200,308.5400,307.2700,35775777
2019-11-12,309.0000,308.7500,309.9900,308.1500,46141997
2019-11-13,309.1000,307.9100,309.5400,307.6600,54261698
2019-11-14,309.5500,308.7900,309.6400,308.0900,51148052
2019-11-15,311.7900,311.0200,311.8400,310.2600,61990853
2019-11-18,312.0200,311.5300,312.2800,311.0300,49285964
2019-11-19,311.9300,312.6800,312.6900,311.2200,67663099
2019-11-20,310.7700,311.2800,311.8500,309.0600,79200298
2019-11-21,310.2700,310.8900,311.0100,309.3900,54403450
2019-11-22,310.9600,311.0900,311.2400,309.8500,44803329
2019-11-25,313.3700,311.9800,313.3700,311.9800,48606151
2019-11-26,314.0800,313.4100,314.2800,313.0600,37515200
2019-11-27,315.4800,314.6100,315.4800,314.3700,44260649
2019-11-29,314.3100,314.8600,315.1300,314.0600,36592740
2019-12-02,311.6400,314.5900,314.6600,311.1700,75719967
2019-12-03,309.5500,308.6500,309.6400,307.1300,74784721
2019-12-04,311.4600,310.7000,312.1200,310.3200,49007961
2019-12-05,312.0200,312.2300,312.2500,310.5800,40657041
2019-12-06,314.8700,314.1200,315.3100,314.1100,48926121
2019-12-09,313.8800,314.4400,315.1800,313.8000,34788380
2019-12-10,313.5300,313.8200,314.5500,312.8100,52609340
2019-12-11,314.4200,314.0300,314.7000,313.4400,46889653
2019-12-12,317.1300,314.4300,317.9900,314.1700,96035635
2019-12-13,317.3200,316.8700,318.6700,316.0200,81489263
2019-12-16,319.5000,319.2200,320.1500,317.2500,82723814
2019-12-17,319.5700,319.9200,320.2500,319.4800,61062693
2019-12-18,319.5900,320.0000,320.2500,319.5300,48721894
2019-12-19,320.9000,319.8000,320.9800,319.5200,85248597
2019-12-20,320.7300,320.4600,321.9700,319.3900,149214080
2019-12-23,321.2200,321.5900,321.6500,321.0600,52980805
2019-12-24,321.2300,321.4700,321.5200,320.9000,20270007
2019-12-26,322.9400,321.6500,322.9500,321.6400,30854382
2019-12-27,322.8600,323.7400,323.8000,322.2800,42523486
2019-12-30,321.0800,322.9500,323.1000,320.5500,49652827
2019-12-31,321.8600,320.5300,322.1300,320.1500,57059907
2020-01-02,324.8700,323.5400,324.8900,322.5300,59037072
2020-01-03,322.4100,321.1600,323.6400,321.1000,77708081
2020-01-06,323.6400,320.4900,323.7300,320.3600,55596982
2020-01-07,322.7300,323.0200,323.5400,322.2400,40461249
2020-01-08,324.4500,322.9400,325.7800,322.6700,68177241
2020-01-09,326.6500,326.1600,326.7300,325.5200,48421935
2020-01-10,325.7100,327.2900,327.4600,325.2000,53028660
2020-01-13,327.9500,326.3900,327.9600,325.9200,47026115
2020-01-14,327.4500,327.4700,328.6200,326.8400,62784185
2020-01-15,328.1900,327.3500,329.0200,327.2600,71870739
2020-01-16,330.9200,329.7000,330.9200,329.4500,53788867
2020-01-17,331.9500,331.7000,332.1800,330.8500,95778839
2020-01-21,331.3000,330.9000,332.1800,330.8200,77624157
2020-01-22,331.3400,332.2400,332.9500,331.1700,48705035
2020-01-23,331.7200,330.6300,332.1700,329.4100,51828259
2020-01-24,328.7700,332.4400,332.5300,327.3600,87465785
2020-01-27,323.5000,323.0300,325.1200,322.6600,83797934
2020-01-28,326.8900,325.0600,327.8500,323.6000,63519891
2020-01-29,326.6200,328.3800,328.6300,326.4000,53714641
2020-01-30,327.6800,324.3600,327.9100,323.5400,75184385
2020-01-31,321.7300,327.0000,327.1700,320.7300,113659402
2020-02-03,324.1200,323.3500,326.1600,323.2200,68931216
2020-02-04,329.0600,328.0700,330.0100,327.7200,61704740
2020-02-05,332.8600,332.2700,333.0900,330.6700,64864742
2020-02-06,333.9800,333.9100,334.1900,332.8000,49982975
2020-02-07,332.2000,332.8200,333.9900,331.6000,64074382
2020-02-10,334.6800,331.2300,334.7500,331.1900,41779456
2020-02-11,335.2600,336.1600,337.0200,334.6800,54773045
2020-02-12,337.4200,336.8300,337.6500,336.4300,42844434
2020-02-13,337.0600,335.8600,338.1200,335.5600,54038002
2020-02-14,337.6000,337.5100,337.7300,336.2000,64518123
2020-02-18,336.7300,336.5100,337.6700,335.2100,57195407
2020-02-19,338.3400,337.7900,339.0800,337.4800,48587393
2020-02-20,336.9500,337.7400,338.6400,333.6800,73891268
2020-02-21,333.4800,335.4700,335.8100,332.5800,113656552
2020-02-24,322.4200,323.1400,333.5600,321.2400,160991237
2020-02-25,312.6500,323.9400,324.6100,311.6900,217564684
2020-02-26,311.5000,314.1800,318.1100,310.7000,192818004
2020-02-27,297.5100,305.4600,311.5600,297.5100,282544492
2020-02-28,296.2600,288.7000,297.8900,285.5400,384911854
2020-03-02,309.0900,298.2100,309.1600,294.4600,237377617
2020-03-03,300.2400,309.5000,313.8400,297.5700,298851919
2020-03-04,312.8600,306.1200,313.1000,303.3300,175893889
2020-03-05,302.4600,304.9800,308.4700,300.0100,185533970
2020-03-06,297.4600,293.1500,298.7800,290.2300,228315219
2020-03-09,274.2300,275.3000,284.1900,273.4500,305980554
2020-03-10,288.4200,284.6400,288.5200,273.5000,274894230
2020-03-11,274.3600,280.7000,281.9400,270.8800,254604444
2020-03-12,248.1100,256.0000,266.6600,247.6800,389612072
2020-03-13,269.3200,263.0900,271.4800,248.5200,326142197
2020-03-16,239.8500,241.1800,256.9000,237.3600,295019288
2020-03-17,252.8000,245.0400,256.1700,237.0700,260566279
2020-03-18,240.0000,236.2500,248.3700,228.0200,324845381
2020-03-19,240.5100,239.2500,247.3800,232.2200,288124389
2020-03-20,228.8000,242.5300,244.4700,228.5000,344276957
2020-03-23,222.9500,228.1900,229.6800,218.2600,323100167
2020-03-24,243.1500,234.4200,244.1000,233.8000,233038623
2020-03-25,246.7900,244.8700,256.3500,239.7500,297989659
2020-03-26,261.2000,249.5200,262.8000,249.0500,256107410
2020-03-27,253.4200,253.2700,260.8100,251.0500,223871285
2020-03-30,261.6500,255.7000,262.4300,253.5300,171274407
2020-03-31,257.7500,260.5600,263.3300,256.2200,193290928
2020-04-01,246.1500,247.9800,257.6600,243.9000,188373330
2020-04-02,251.8300,245.1900,252.6800,244.5900,176669824
2020-04-03,248.1900,250.7600,253.3200,245.2200,134538553
2020-04-06,264.8600,257.8400,267.0000,248.1700,186692564
2020-04-07,265.1300,274.2100,275.0300,264.8900,199187791
2020-04-08,274.0300,267.9600,276.0000,265.2500,152670223
2020-04-09,278.2000,277.5800,281.2000,275.4700,189948139
2020-04-13,275.6600,277.1400,277.5100,271.4100,114353986
2020-04-14,283.7900,280.9800,284.9000,275.5100,133510280
2020-04-15,277.7600,277.5700,283.9400,275.4600,121155983
